DATE	NAME	CIK	FIRM	SOURCE	BLACK	MALE	FEMALE	LGBT	NONBINARY	ASIAN	LATINX	DIRECTORS	NOTES	DND_GENDER	DND_DEMO
2022	GLOBUS MARITIME LTD	1499780	glbs	proxy											
2022	GLOBALINK INVESTMENT INC.	1888734	glli	proxy											
2022	Galmed Pharmaceuticals Ltd.	1595353	glmd	proxy											
2022	GOLAR LNG LTD	1207179	glng	proxy											
2022	GALAPAGOS NV	1421876	glpg	proxy											
2022	Global Star Acquisition Inc.	1922331	glst	proxy											
2022	GENMAB A/S	1434265	gmab	proxy											
2022	Golden Matrix Group, Inc.	1437925	gmgi	proxy											
2022	Genfit S.A.	1757064	gnft	proxy											
2022	GENELUX Corp	1231457	gnlx	proxy											
2022	Genenta Science S.p.A.	1838716	gnta	proxy											
2022	Golden Ocean Group Ltd	1029145	gogl	proxy											
2022	GREENPOWER MOTOR Co INC.	1584547	gp	proxy											
2022	Structure Therapeutics Inc.	1888886	gpcr	proxy											
2022	Green Plains Partners LP	1635650	gpp	proxy											
2022	Grab Holdings Ltd	1855612	grab	proxy											
2022	Gracell Biotechnologies Inc.	1826492	grcl	proxy											
2022	Grifols SA	1438569	grfs	proxy											
2022	GRI BIO, Inc.	1824293	gri	proxy											
2022	Grindrod Shipping Holdings Ltd.	1725293	grin	proxy											
2022	U S GLOBAL INVESTORS INC	754811	grow	proxy											
2022	Gorilla Technology Group Inc.	1903145	grrr	proxy											
2022	GRAVITY Co., Ltd.	1313310	grvy	proxy											
2022	Global System Dynamics, Inc.	1843248	gsd	proxy											
2022	Ferroglobe PLC	1639877	gsm	proxy											
2022	GLORY STAR NEW MEDIA GROUP HOLDINGS Ltd	1738758	gsmg	proxy											
2022	Golden Sun Education Group Ltd	1826376	gsun	proxy											
2022	Greenland Technologies Holding Corp.	1735041	gtec	proxy											
2022	Genetron Holdings Ltd	1782594	gth	proxy											
2022	Good Times Restaurants Inc.	825324	gtim	proxy											
2022	HASBRO, INC.	46080	has	proxy											
2022	HUTCHMED (China) Ltd	1648257	hcm	proxy											
2022	D-MARKET Electronic Services & Trading	1850235	heps	proxy											
2022	HF Foods Group Inc.	1680873	hffg	proxy											
2022	Hammerhead Energy Inc.	1946425	hhrs	proxy											
2022	HIGHWAY HOLDINGS LTD	1026785	hiho	proxy											
2022	Himax Technologies, Inc.	1342338	himx	proxy											
2022	High Tide Inc.	1847409	hiti	proxy											
2022	HIVE Digital Technologies Ltd.	1720424	hive	proxy											
2022	HiTek Global Inc.	1742341	hkit	proxy											
2022	Hongli Group Inc.	1855557	hlp	proxy											
2022	HilleVax, Inc.	1888012	hlvx	proxy											
2022	Hanover Bancorp, Inc. /NY	1828588	hnvr	proxy											
2022	Hollysys Automation Technologies, Ltd.	1357450	holi	proxy											
2022	MicroCloud Hologram Inc.	1841209	holo	proxy											
2022	Hempacco Co., Inc.	1892480	hpco	proxy											
2022	Hanryu Holdings, Inc.	1911545	hryu	proxy											
2022	Hesai Group	1861737	hsai	proxy											
2022	Heart Test Laboratories, Inc.	1468492	hscs	proxy											
2022	H World Group Ltd	1483994	htht	proxy											
2022	Fusion Fuel Green PLC	1819794	htoo	proxy											
2022	Hub Cyber Security Ltd.	1905660	hubc	proxy											
2022	Huadi International Group Co., Ltd.	1791725	hudi	proxy											
2022	FSD Pharma Inc.	1771885	huge	proxy											
2022	Huize Holding Ltd	1778982	huiz	proxy											
2022	HUT 8 MINING CORP.	1731805	hut	proxy											
2022	Hywin Holdings Ltd.	1785680	hyw	proxy											
2022	IBEX Ltd	1720420	ibex	proxy											
2022	IceCure Medical Ltd.	1584371	iccm	proxy											
2022	iCoreConnect Inc.	1906133	icct	proxy											
2022	Intchains Group Ltd	1895597	icg	proxy											
